@relation housing_train_cleaned_excel

@attribute id numeric
@attribute region {birmingham,'huntsville / decatur',dothan,mobile,montgomery,'florence / muscle shoals',gadsden-anniston,tuscaloosa,'anchorage / mat-su',fairbanks,phoenix,'flagstaff / sedona',tucson,'little rock',prescott,yuma,fayetteville,bakersfield,texarkana,'fresno / madera',hanford-corcoran,'humboldt county','inland empire','los angeles','kenai peninsula','mohave county','southeast alaska','fort smith',jonesboro,'show low','gold country','sierra vista',chico,'imperial county',boulder,modesto,'orange county','mendocino county',merced,'palm springs','reno / tahoe','monterey bay',redding,sacramento,'san diego','san luis obispo','santa barbara','SF bay area',stockton,'ventura county',susanville,'colorado springs','new hampshire',cincinnati,'north dakota','akron / canton',bismarck,'grand forks',columbus,'dayton / springfield',cleveland,'lima / findlay',toledo,'northern panhandle','oklahoma city','zanesville / cambridge',ashtabula,lawton,chillicothe,texoma,tulsa,bend,corvallis/albany,'tuscarawas co','east oregon',eugene,medford-ashland,'oregon coast',portland,mansfield,stillwater,athens,parkersburg-marietta}
@attribute rent numeric
@attribute type {apartment,house,manufactured,townhouse,condo,duplex,flat,cottage/cabin,in-law,loft,land}
@attribute sqfeet numeric
@attribute bedrooms numeric
@attribute bathrooms numeric
@attribute cats_allowed numeric
@attribute dogs_allowed numeric
@attribute smoking_allowed numeric
@attribute wheelchair_access numeric
@attribute electric_vehicle_charge numeric
@attribute comes_furnished numeric
@attribute laundry_options {'laundry on site','w/d hookups','w/d in unit','laundry in bldg','no laundry on site'}
@attribute parking_options {'street parking','off-street parking',carport,'attached garage','detached garage','no parking','valet parking'}
@attribute demand numeric
@attribute latitude numeric
@attribute long numeric
@attribute state {al,ak,az,ar,ca,co,nh,oh,nd,ok,or}

@data
7041915578,birmingham,990,apartment,996,2,1,1,1,1,0,0,0,'w/d hookups','off-street parking',1,33.4314,-86.8448,al
7031679711,birmingham,990,apartment,1100,2,2,1,1,1,0,0,0,'laundry on site','off-street parking',1,33.3755,-86.8045,al
7041880639,birmingham,1499,apartment,1491,3,2,1,1,1,0,0,0,'w/d hookups',?,1,33.4277,-86.8874,al
7041879839,birmingham,1245,apartment,1189,2,2,1,1,1,0,0,0,'w/d hookups',?,1,33.4269,-86.8871,al
7041879079,birmingham,1050,apartment,890,1,1,1,1,1,0,0,0,'w/d hookups',?,1,33.4277,-86.8876,al
7041861499,birmingham,679,apartment,915,2,1.5,1,1,1,0,0,0,'laundry on site',?,1,33.6493,-86.7057,al
7041848019,birmingham,659,apartment,890,2,1,1,1,1,0,0,0,'laundry on site',?,1,33.6493,-86.7057,al
7041868516,birmingham,904,apartment,1065,2,2,1,1,1,0,0,0,'w/d hookups','off-street parking',1,33.429,-86.7139,al
7041839327,birmingham,659,apartment,890,2,1,1,1,1,0,0,0,'laundry on site',?,1,33.6493,-86.7057,al
7041849111,birmingham,659,apartment,890,2,1,1,1,1,0,0,0,'laundry on site',?,1,33.6493,-86.7057,al
7041851978,birmingham,659,apartment,890,2,1,1,1,1,0,0,0,'laundry on site',?,1,33.6493,-86.7057,al
7044332236,'huntsville / decatur',800,house,1300,3,1,1,1,1,0,0,0,'w/d hookups',?,1,34.7738,-87.0948,al
7024337105,birmingham,1250,apartment,1338,3,2,0,0,1,0,0,0,?,?,1,33.3538,-86.8254,al
7041857803,birmingham,879,apartment,984,2,2,1,1,1,0,0,0,'w/d hookups',?,1,33.3125,-86.815,al
7036606231,birmingham,1222,apartment,1908,3,2,1,1,1,0,0,0,'laundry on site','street parking',1,33.4226,-86.7065,al
7041849650,birmingham,840,apartment,851,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',1,33.3755,-86.8045,al
7041849703,birmingham,1060,apartment,1100,2,2,1,1,1,0,0,0,'laundry on site','off-street parking',1,33.3755,-86.8045,al
7032845689,birmingham,715,apartment,906,1,1,1,1,1,0,0,0,'laundry on site',?,1,33.3942,-86.8025,al
7041820191,birmingham,1120,apartment,1319,3,2,1,1,1,0,0,0,'laundry on site','off-street parking',1,33.3755,-86.8045,al
7041849771,birmingham,1100,apartment,1100,2,2,1,1,1,0,0,0,'laundry on site','off-street parking',1,33.3755,-86.8045,al
7026923823,birmingham,1100,apartment,1300,3,2,1,1,1,0,0,0,'w/d hookups','off-street parking',1,33.5233,-86.7272,al
7041849679,birmingham,975,apartment,1009,2,1,1,1,1,0,0,0,'laundry on site','off-street parking',1,33.3755,-86.8045,al
7041849611,birmingham,835,apartment,560,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',1,33.3755,-86.8045,al
7041848573,birmingham,1299,apartment,1700,3,2,1,1,1,0,0,0,'w/d hookups',?,1,33.4186,-86.786,al
7041844066,birmingham,960,apartment,1150,2,2,1,1,1,0,0,0,'w/d hookups','off-street parking',1,33.3813,-86.7046,al
7041841265,birmingham,1260,apartment,5201,3,2,1,1,1,0,0,0,?,?,1,33.4188,-86.7867,al
7041836102,birmingham,1299,apartment,1700,3,2,1,1,1,0,0,0,'w/d hookups',?,1,33.4186,-86.786,al
7041834954,birmingham,850,house,1144,3,1,0,0,1,0,0,0,?,?,1,33.6493,-86.7057,al
7041833649,birmingham,1050,house,1324,4,2,0,0,1,0,0,0,?,?,0,33.6493,-86.7057,al
7032768233,birmingham,814,apartment,600,1,1,1,0,1,0,0,0,'laundry in bldg','off-street parking',1,33.4953,-86.7804,al
7031365352,birmingham,874,apartment,700,1,1,1,0,1,0,0,0,'w/d in unit','off-street parking',1,33.4948,-86.7793,al
7040564009,dothan,625,manufactured,1080,3,2,0,0,1,0,0,0,'w/d hookups',?,1,31.0956,-85.583,al
7033544250,birmingham,1004,apartment,880,2,1,1,0,1,0,0,0,'w/d in unit','off-street parking',1,33.4959,-86.7792,al
7037056947,birmingham,820,townhouse,960,2,1,1,1,1,0,0,0,'w/d hookups','street parking',1,33.4832,-86.8003,al
7036476849,birmingham,950,apartment,770,2,1,1,1,1,0,0,0,'w/d hookups','off-street parking',1,33.4772,-86.7886,al
7036050035,birmingham,874,apartment,700,1,1,1,0,1,0,0,0,'w/d in unit','off-street parking',1,33.4949,-86.7792,al
7041832541,birmingham,775,house,1216,3,1,0,0,1,0,0,0,?,?,1,33.4951,-86.8059,al
7041394893,birmingham,659,apartment,890,2,1,1,1,1,0,0,0,'laundry on site',?,1,33.6493,-86.7057,al
7024447500,birmingham,950,apartment,850,2,1,1,1,1,0,0,0,'w/d hookups','off-street parking',1,33.4772,-86.7887,al
7024396461,birmingham,874,apartment,700,1,1,1,0,1,0,0,0,'w/d in unit','off-street parking',1,33.4951,-86.7803,al
7041832371,birmingham,750,house,1332,3,1,0,0,1,0,0,0,?,?,1,33.5887,-86.765,al
7041832245,birmingham,925,house,1346,4,2,0,0,1,0,0,0,?,?,0,33.6493,-86.7057,al
7041832083,birmingham,880,house,1095,3,1,0,0,1,0,0,0,?,?,1,33.6493,-86.7057,al
7041827878,birmingham,765,apartment,802,1,1,1,1,1,0,0,0,'laundry on site','street parking',1,33.4226,-86.7065,al
7041827928,birmingham,1105,apartment,1908,3,2,1,1,1,0,0,0,'laundry on site','street parking',1,33.4226,-86.7065,al
7041822761,birmingham,1120,apartment,1319,3,2,1,1,1,0,0,0,'laundry on site','off-street parking',1,33.3755,-86.8045,al
7039112110,birmingham,1080,apartment,1100,2,2,1,1,1,0,0,0,'laundry on site','off-street parking',1,33.3755,-86.8045,al
7028062790,birmingham,839,apartment,700,1,1,1,0,1,0,0,0,'laundry on site','off-street parking',1,33.495,-86.7803,al
7039112175,birmingham,1120,apartment,1319,3,2,1,1,1,0,0,0,'laundry on site','off-street parking',1,33.3755,-86.8045,al
7027736225,birmingham,874,apartment,700,1,1,1,0,1,0,0,0,'w/d in unit','off-street parking',1,33.495,-86.7804,al
7027436438,birmingham,874,apartment,700,1,1,1,0,1,0,0,0,'w/d in unit','off-street parking',1,33.4948,-86.7793,al
7027127300,birmingham,950,apartment,770,2,1,1,1,1,0,0,0,'w/d hookups','off-street parking',1,33.4771,-86.7885,al
7041547417,birmingham,785,apartment,1047,2,1,1,1,1,0,0,0,'laundry on site','street parking',1,33.4226,-86.7065,al
